ID,CALLE,DISTRITO,CODIGOPOSTAL,COORDENADA-X,COORDENADA-Y
442005.1955-4477869.536,"CALLE TORMES, 10",CHAMARTIN,28002.0,442005.1955,4477869.536
442005.2889-4476389.657,"CALLE GENERAL ORAA, 28",SALAMANCA,28006.0,442005.2889,4476389.657
442007.41-4473121.63,"Paseo  Reina Cristina,  Frente al número 5, intersección a la Calle Julián Gayarre",RETIRO,28014.0,442007.41,4473121.63
442008.19-4482240.5,"AVENIDA SOTO PALACIOS, 16",FUENCARRAL-EL PARDO,28034.0,442008.19,4482240.5
442008.75-4482169.26,"AVENIDA SOTO PALACIOS, 6",FUENCARRAL-EL PARDO,28034.0,442008.75,4482169.26
442010.96-4467745.73,"CALLE DE GRAZIA DELEDDA, 5",VILLAVERDE,28021.0,442010.96,4467745.73
442011.9578-4475665.366,"CALLE VELAZQUEZ, 76",SALAMANCA,28001.0,442011.9578,4475665.366
442011.9928-4481196.279,"CALLE PABLO LUNA, 9",CHAMARTIN,28046.0,442011.9928,4481196.279
442012.0313-4472559.0,"MENDEZ ALVARO, CALLE Nº0 FTE. Nº38 GTA CARLOS V",ARGANZUELA,28007.0,442012.0313,4472559.0
442012.2161-4477568.125,"CALLE NERVION, 8",CHAMARTIN,28002.0,442012.2161,4477568.125
442013.0313-4481931.0,"ISIDRO FERNANDEZ, CALLE Nº ESQ C/MARCOS ORUETA C/MARCOS ORUETA",FUENCARRAL-EL PARDO,28034.0,442013.0313,4481931.0
442014.89-4473147.54,"CALLE JULIAN GAYARRE, 12",RETIRO,28014.0,442014.89,4473147.54
442016.0-4482513.0,"LLANO CASTELLANO, AV Nº0 FTE. Nº51 AV.NTRA.SRA.VALVERDE",FUENCARRAL-EL PARDO,28034.0,442016.0,4482513.0
442016.5402-4481019.134,"CALLE PABLO LUNA, 8",CHAMARTIN,28046.0,442016.5402,4481019.134
442017.0-4479090.0,"ALBERTO ALCOCER, CALLE Nº22 ESQ. C/ PADRE DAMIAN C/ COSTA RICA",CHAMARTIN,28016.0,442017.0,4479090.0
442018.5938-4484169.5,"NTRA. SRA. DE VALVERDE, CALLE Nº0 ESQ C/ ALONSO QUIJANO LLANO CASTELLAN",FUENCARRAL-EL PARDO,28034.0,442018.5938,4484169.5
442018.8438-4472498.0,"MENDEZ ALVARO, CALLE Nº0 JTO PZA AMANECER DE MENDEZ ALVARO M - 30",ARGANZUELA,28007.0,442018.8438,4472498.0
442019.6-4478870.53,"Avenida  Alberto Alcocer, 28 ",CHAMARTIN,28016.0,442019.6,4478870.53
442019.84-4476160.84,"Calle  Velázquez, 89 ",SALAMANCA,28006.0,442019.84,4476160.84
442021.0-4478327.0,"CONCHA ESPINA, AV Nº18 ESQ. PZA. SAGRADOS CORAZONES AV. RAMON Y CAJAL",CHAMARTIN,28016.0,442021.0,4478327.0
442021.778-4475826.285,"CALLE VELAZQUEZ, 86",SALAMANCA,28006.0,442021.778,4475826.285
442023.6345-4481254.091,"CALLE PABLO LUNA, 14",CHAMARTIN,28046.0,442023.6345,4481254.091
442023.92-4481261.81,"CALLE PABLO LUNA, 16",CHAMARTIN,28046.0,442023.92,4481261.81
442026.81-4479408.825,"CALLE AZULINAS, 16",CHAMARTIN,28046.0,442026.81,4479408.825
442029.88-4471834.13,"CALLE DE AMALTEA, 3",ARGANZUELA,28045.0,442029.88,4471834.13
442031.9152-4477035.642,"CALLE PABLO ARANDA, 5",CHAMARTIN,28006.0,442031.9152,4477035.642
442034.42-4472284.47,"CALLE DE ALAMEDILLA, 3",ARGANZUELA,28045.0,442034.42,4472284.47
442036.78-4467130.34,"CALLE DE MIGUEL SOLAS, 1",VILLAVERDE,28021.0,442036.78,4467130.34
442037.11-4467326.92,"CALLE DEL URANIO, 11",VILLAVERDE,28021.0,442037.11,4467326.92
442038.0-4481404.0,"CASTELLANA, Pº Nº296 FRENTE A LA PAZ"" C/ VIEJA""",CHAMARTIN,28046.0,442038.0,4481404.0
442038.4281-4478020.615,"CALLE SEGRE, 12",CHAMARTIN,28002.0,442038.4281,4478020.615
442039.1016-4476067.806,"CALLE VELAZQUEZ, 96",SALAMANCA,28006.0,442039.1016,4476067.806
442039.92-4478134.301,"AVENIDA CONCHA ESPINA, 39",CHAMARTIN,28016.0,442039.92,4478134.301
442041.1-4467480.86,"CALLE DE EUSKALDUNA, 6",VILLAVERDE,28021.0,442041.1,4467480.86
442041.2293-4481284.518,"CALLE VIEJAS, 25",CHAMARTIN,28046.0,442041.2293,4481284.518
442041.88-4467438.78,"CALLE DE SAN GERVASIO, 12",VILLAVERDE,28021.0,442041.88,4467438.78
442042.89-4467481.62,"CALLE DE EUSKALDUNA, 1",VILLAVERDE,28021.0,442042.89,4467481.62
442043.715-4472996.969,"CALLE JULIAN GAYARRE, 2",RETIRO,28014.0,442043.715,4472996.969
442045.9362-4477767.826,"CALLE SERRANO, 173",CHAMARTIN,28002.0,442045.9362,4477767.826
442048.9484-4479848.08,"CALLE MATEO INURRIA, 21",CHAMARTIN,28036.0,442048.9484,4479848.08
442050.98-4467275.98,"CALLE DE JULIA SOLA, 12",VILLAVERDE,28021.0,442050.98,4467275.98
442051.65-4477239.666,"CALLE RODRIGUEZ MARIN, 1",CHAMARTIN,28002.0,442051.65,4477239.666
442051.7706-4474814.554,"CALLE NUÑEZ DE BALBOA, 3",SALAMANCA,28001.0,442051.7706,4474814.554
442053.1064-4476502.017,"CALLE VELAZQUEZ, 119",SALAMANCA,28006.0,442053.1064,4476502.017
442055.86-4467159.83,"CALLE DE VICENTE CARBALLAL, 8",VILLAVERDE,28021.0,442055.86,4467159.83
442058.15-4467225.97,"CALLE DE JULIA SOLA, 4",VILLAVERDE,28021.0,442058.15,4467225.97
442060.4583-4475300.569,"CALLE HERMOSILLA, 43",SALAMANCA,28001.0,442060.4583,4475300.569
